Player,Team,COLLEGE,COUNTRY,DRAFT.YEAR,DRAFT.ROUND,DRAFT.NUMBER,GP,PTS,REB,AST,NETRTG,W,L,Min,FGM,FGA,X3PM,X3PA,FTM,FTA,OREB,DREB,TOV,STL,BLK,PF,DD2,TD3,X...,Dist..Miles.Off,Dist..Miles.Def,Avg.Speed.Off,Avg.Speed.Def,Deflections,Loose.Balls.Recovered,Charges.Drawn,Contested.2PT.Shots,Contested.3PT.Shots,Travel,DOUBLE.DRIBBLE,DISC..DRIBBLE,OFF..3.SEC,INBOUND,BACK..COURT,OFF...GLTND,PALMING,OFF..FOUL,DEF...3.SEC,CHARGE,KICKED.BALL,blessure,age_cat,height_cat,weight_cat
Fred VanVleet,HOU,Wichita State,USA,Undrafted,Undrafted,Undrafted,60,14.1,3.7,5.6,6.2,41,19,35.2,4.8,12.7,2.7,7.7,1.9,2.3,0.5,3.2,1.5,1.6,0.4,2.3,4,0,4.4,1.42,1.14,4.44,3.71,3,0.8,0.02,1.1,1.6,0,0,0,0,0,0,0,0,11,0,1,1,Non blessé,joueur vétéran,petit,léger
Gabe Vincent,LAL,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,72,6.4,1.3,1.4,1.1,46,26,21.2,2.3,5.8,1.5,4.3,0.2,0.3,0.3,1,0.6,0.7,0.2,2.1,0,0,0.7,0.87,0.74,4.46,3.98,1.4,0.4,0.17,1.6,1.2,1,0,0,0,0,0,0,0,9,0,1,6,Non blessé,joueur expérimenté,petit,léger
Garrett Temple,TOR,Louisiana State,USA,Undrafted,Undrafted,Undrafted,28,1.9,1,1.1,-4.5,11,17,8.1,0.6,2.1,0.2,1,0.4,0.4,0.3,0.7,0.4,0.6,0.1,0.8,0,0,-1,0.34,0.3,4.71,4.03,2,0.2,0.05,0.9,0.7,0,0,0,0,0,0,0,0,0,0,0,0,blessure bas,joueur vétéran,moyen,léger
Garrison Mathews,ATL,Lipscomb,USA,Undrafted,Undrafted,Undrafted,47,7.5,1.9,1.3,-3.5,21,26,17.6,2.2,5.5,1.8,4.6,1.4,1.7,0.3,1.6,0.7,0.6,0.3,1.7,0,0,-1.3,0.74,0.66,4.82,4.02,1.1,0.3,0.24,1.6,1.4,2,0,0,0,0,0,0,0,2,0,0,1,Non blessé,joueur expérimenté,moyen,moyen
Gary Harris,ORL,Michigan State,USA,2014,1,19,48,3,1.3,0.6,7.2,28,20,14.8,1.1,2.8,0.8,2.1,0.1,0.3,0.4,0.9,0.4,0.5,0.3,0.9,0,0,1.8,0.6,0.55,4.35,4.3,1.6,0.4,0,0.6,0.8,2,0,0,0,0,1,0,0,1,0,0,2,Non blessé,joueur expérimenté,moyen,moyen
Gary Payton II,GSW,Oregon State,USA,Undrafted,Undrafted,Undrafted,62,6.5,3,1.3,3.4,36,26,15,2.8,4.8,0.5,1.5,0.4,0.6,0.9,2.1,0.6,0.8,0.3,1.7,0,0,0.7,0.65,0.63,5.09,4.54,2.1,0.6,0,1,0.8,2,0,0,0,0,0,0,0,13,0,2,0,Non blessé,joueur vétéran,petit,léger
Gary Trent Jr.,MIL,Duke,USA,2018,2,37,74,11.1,2.3,1.2,1.9,44,30,25.6,3.8,8.9,2.4,5.9,1.1,1.2,0.3,2,0.6,1,0.1,1.7,0,0,0.9,0.92,0.91,4.09,3.92,2.2,0.3,0,0.5,1,3,0,0,1,0,1,0,0,8,0,2,2,Non blessé,joueur expérimenté,moyen,léger
Georges Niang,ATL,Iowa State,USA,2016,2,50,79,9.9,3.4,1.4,4.7,55,24,21.5,3.6,7.8,2.1,5.2,0.6,0.7,0.6,2.8,1,0.4,0.2,2.5,1,0,2.5,0.88,0.78,4.81,3.86,1,0.4,0.04,1.6,1.3,9,0,0,0,0,1,0,0,10,4,4,1,Non blessé,joueur vétéran,moyen,moyen
GG Jackson,MEM,South Carolina,USA,2023,2,45,29,7.2,3.2,1,-5.9,19,10,15.8,2.6,6.9,1.1,3.3,1,1.4,0.9,2.2,1.1,0.4,0.2,1,0,0,-2.3,0.65,0.6,4.83,4.05,0.9,0.4,0,1.7,1.2,5,0,0,0,0,0,1,0,1,0,1,0,Non blessé,jeune joueur,grand,moyen
Giannis Antetokounmpo,MIL,None,Greece,2013,1,15,67,30.4,11.9,6.5,7.2,40,27,34.2,11.8,19.7,0.2,0.9,6.5,10.6,2.2,9.7,3.1,0.9,1.2,2.3,55,11,5,1.33,1.1,4.43,3.58,1.6,0.7,0,2.9,2.4,26,1,0,1,0,3,1,3,32,1,13,3,Non blessé,joueur expérimenté,grand,lourd
Goga Bitadze,ORL,None,Georgia,2019,1,18,70,7.2,6.6,2,2.7,38,32,20.4,3,4.8,0,0.4,1.2,1.9,2.4,4.2,1,0.7,1.4,2.1,15,0,1.1,0.8,0.7,4.24,3.97,1.7,0.4,0,4.4,2,7,0,0,0,0,1,4,0,19,1,4,1,Non blessé,joueur mature,grand,lourd
Gradey Dick,TOR,Kansas,USA,2023,1,13,54,14.4,3.6,1.8,-5.8,15,39,29.4,4.9,12,2.1,6,2.5,2.9,0.8,2.8,1.5,0.9,0.2,2.2,0,0,-3.9,1.25,1.17,4.89,4.3,2,0.6,0.11,0.8,1.1,1,0,0,0,0,0,0,0,7,0,4,5,blessure bas,jeune joueur,moyen,léger
Grant Williams,CHA,Tennessee,USA,2019,1,22,16,10.4,5.1,2.3,1.6,6,10,29.9,3.4,7.7,1.7,4.6,1.9,2.3,1.1,4,1.8,1.1,0.8,2.9,0,0,0.6,1.14,0.95,4.15,3.61,1.6,0.7,0.31,5.1,2.6,2,0,0,0,0,0,0,0,7,1,0,2,Non blessé,joueur expérimenté,moyen,lourd
Grayson Allen,PHX,Duke,USA,2018,1,21,64,10.6,3,2.1,-3.3,29,35,24.1,3.4,7.6,2.3,5.5,1.5,1.8,0.5,2.5,1.2,0.8,0.3,1.5,1,0,-1.2,1.03,0.83,4.58,3.98,1.3,0.6,0.02,1.5,1.5,0,0,0,0,0,0,0,0,8,0,0,0,Non blessé,joueur expérimenté,moyen,léger
Guerschon Yabusele,PHI,None,France,2016,1,16,70,11,5.6,2.1,-3.2,23,47,27.1,4,8,1.5,3.9,1.4,2,1.9,3.7,1.2,0.8,0.3,2.3,3,0,-1.7,1.07,0.93,4.3,3.94,1.9,0.6,0.11,2.5,1.2,10,0,0,1,0,0,0,0,17,0,3,1,blessure bas,joueur expérimenté,grand,lourd
Gui Santos,GSW,None,Brazil,2022,2,55,56,4.1,3.1,1.4,10.6,36,20,13.6,1.5,3.2,0.6,1.8,0.5,0.8,1.3,1.8,0.8,0.4,0.2,1.6,0,0,2.9,0.61,0.52,4.93,4.34,1.2,0.5,0,1.7,1.4,1,0,0,0,0,0,0,0,1,0,0,4,Non blessé,jeune joueur,moyen,léger
Harrison Barnes,SAS,North Carolina,USA,2012,1,7,82,12.3,3.8,1.7,-1.2,34,48,27.2,4.2,8.3,1.9,4.4,2,2.4,1.2,2.6,0.6,0.5,0.2,0.9,1,0,-0.3,1.14,0.98,4.76,4.07,1,0.4,0.01,2.1,1.9,3,1,0,0,0,0,0,0,4,0,1,0,Non blessé,joueur vétéran,grand,moyen
Harrison Ingram,SAS,North Carolina,USA,2024,2,48,5,0.8,1.8,0.6,40,0,5,7,0.4,0.8,0,0.2,0,0,0.4,1.4,0.2,0.6,0,0.4,0,0,6,0.25,0.28,4.66,3.77,2.6,0,0,0.8,0.4,1,0,0,0,0,0,0,0,0,0,0,0,Non blessé,jeune joueur,moyen,moyen
Haywood Highsmith,MIA,Wheeling Jesuit,USA,2018,Undrafted,Undrafted,74,6.5,3.4,1.5,1.4,35,39,24.6,2.4,5.3,1.2,3.1,0.4,0.6,1,2.4,0.7,0.9,0.5,2.2,0,0,0.8,1.05,0.94,4.74,4.35,2.2,0.4,0,2.6,2.4,2,0,0,0,1,0,0,0,4,1,1,0,Non blessé,joueur expérimenté,moyen,moyen
Herbert Jones,NOP,Alabama,USA,2021,2,35,20,10.3,3.9,3.3,-0.7,5,15,32.4,3.8,8.6,1.1,3.6,1.7,2,1.1,2.8,1.8,1.9,0.5,3.3,0,0,-1,1.3,1.22,4.54,4.14,4.5,0.5,0.2,2.4,3,2,0,0,0,0,1,0,0,1,1,0,2,blessure haut,joueur expérimenté,moyen,moyen
Hunter Tyson,DEN,Clemson,USA,2023,2,37,51,2.6,1.5,0.4,-10.2,30,21,7.8,0.9,2.4,0.5,1.5,0.4,0.5,0.5,1,0.3,0.2,0.1,0.9,0,0,-1.9,0.34,0.3,4.86,4.22,0.5,0.3,0.03,1,1,2,0,0,0,0,0,0,0,1,0,0,0,Non blessé,joueur mature,grand,moyen
Immanuel Quickley,TOR,Kentucky,USA,2020,1,25,33,17.1,3.5,5.8,-1.6,12,21,27.8,5.6,13.3,2.6,6.8,3.4,3.9,0.5,3.1,1.8,0.7,0.1,1.8,2,0,-1.2,1.16,1.05,4.87,4.02,1.5,0.3,0,1.5,1.6,1,0,0,0,0,1,0,0,6,0,4,0,Non blessé,joueur mature,petit,léger
Isaac Jones,SAC,Washington State,USA,Undrafted,Undrafted,Undrafted,40,3.4,1.4,0.3,-10.5,19,21,7.6,1.4,2.1,0.1,0.2,0.6,0.9,0.6,0.9,0.4,0.1,0.3,0.8,0,0,-1.6,0.31,0.29,4.64,4.2,0.6,0.1,0,2,0.8,0,0,0,0,0,0,0,0,1,0,0,0,Non blessé,joueur mature,grand,lourd
Isaac Okoro,CLE,Auburn,USA,2020,1,5,55,6.1,2.4,1.2,12.5,44,11,19.1,2.3,4.9,1,2.7,0.6,0.8,0.9,1.5,0.4,0.6,0.3,1.9,0,0,4.6,0.76,0.75,4.66,4.19,0.9,0.5,0.04,1.8,1.5,0,0,0,0,0,1,0,0,6,0,1,1,Non blessé,joueur mature,moyen,moyen
Isaiah Collier,UTA,Southern California,USA,2024,1,29,71,8.7,3.3,6.3,-10.4,14,57,25.9,3.3,7.8,0.6,2.4,1.5,2.2,0.5,2.9,2.9,0.9,0.2,2.1,11,0,-5.7,1.08,0.88,4.58,3.85,1.5,0.5,0.06,0.9,1.9,8,1,0,0,0,3,0,1,19,1,5,0,blessure bas,jeune joueur,petit,moyen
Isaiah Crawford,SAC,Louisiana Tech,USA,Undrafted,Undrafted,Undrafted,15,0.9,0.5,0.1,19.3,7,8,3,0.3,0.7,0.1,0.3,0.1,0.3,0.1,0.5,0.1,0.1,0.1,0.1,0,0,1.5,0.12,0.11,4.5,3.91,0.5,0,0,0.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur mature,moyen,moyen
Isaiah Hartenstein,OKC,None,Germany,2017,2,43,57,11.2,10.7,3.8,13,49,8,27.9,4.9,8.4,0,0.3,1.4,2.1,2.9,7.9,1.7,0.8,1.1,3,28,0,7.3,1.16,1.04,4.76,4.12,2.3,0.5,0,6,2.6,2,0,0,0,0,0,3,0,17,0,1,3,Non blessé,joueur expérimenté,grand,lourd
Isaiah Jackson,IND,Kentucky,USA,2021,1,22,5,7,5.6,1,5.4,1,4,16.8,2.8,4.6,0,0,1.4,2.8,2.2,3.4,1,0.6,1.6,2.8,0,0,2,0.66,0.62,4.7,3.92,1.2,0.4,0,3.8,1.4,0,0,0,0,0,0,0,0,3,0,1,0,blessure bas,joueur mature,grand,léger
Isaiah Joe,OKC,Arkansas,USA,2020,2,49,74,10.2,2.6,1.6,15.8,63,11,21.7,3.5,7.9,2.6,6.3,0.6,0.8,0.6,2.1,0.5,0.6,0.1,1.5,0,0,7.4,0.92,0.79,4.8,4.04,1.4,0.5,0.23,1.1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur mature,petit,léger
Isaiah Mobley,PHI,USC,USA,2022,2,49,1,6,4,5,-17.3,0,1,17.4,2,7,1,3,1,2,1,3,0,1,1,3,0,0,-6,0.77,0.64,4.79,4.03,2,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur mature,grand,lourd
Isaiah Stevens,MIA,Colorado State,USA,Undrafted,Undrafted,Undrafted,3,0,0.7,0,30.8,3,0,1.9,0,0.7,0,0.3,0,0,0,0.7,0,0.3,0,0,0,0,1.3,0.07,0.06,3.75,4.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blessure haut,joueur mature,petit,léger
Isaiah Stewart,DET,Washington,USA,2020,1,16,72,6,5.5,1.7,0.5,38,34,19.9,2.4,4.4,0.2,0.7,0.9,1.2,1.8,3.7,0.9,0.4,1.4,2.5,2,0,0.1,0.76,0.7,4.27,3.96,0.7,0.4,0,6.8,2,4,0,0,1,1,0,0,0,25,5,4,1,blessure bas,joueur mature,grand,lourd
Isaiah Wong,CHA,Miami,USA,2023,2,55,20,6,1.6,1.4,-2.6,2,18,13.3,2.1,5.3,0.7,1.7,1.3,1.7,0.7,0.9,0.9,0.6,0,1.1,0,0,-0.3,0.6,0.49,4.82,4.22,1.5,0.6,0.06,0.7,0.9,1,0,0,0,0,1,0,0,1,0,0,1,Non blessé,joueur mature,petit,léger
Ivica Zubac,LAC,None,Croatia,2016,2,32,80,16.8,12.6,2.7,9.4,50,30,32.8,7.4,11.8,0,0,2,3,3.8,8.9,1.6,0.7,1.1,2.1,59,1,6.4,1.21,1.08,4.1,3.77,1.1,0.4,0,7.7,2.3,11,0,0,2,0,3,1,0,21,6,4,2,Non blessé,joueur expérimenté,grand,lourd
Ja Morant,MEM,Murray State,USA,2019,1,2,50,23.2,4.1,7.3,6.8,30,20,30.4,8.1,17.8,1.8,5.7,5.3,6.4,0.7,3.4,3.7,1.2,0.2,2.3,13,1,4.5,1.23,1.1,4.81,3.95,2.3,0.6,0.1,1,1,8,0,0,0,0,0,0,1,2,0,1,2,blessure bas,joueur mature,petit,léger
Ja'Kobe Walter,TOR,Baylor,USA,2024,1,19,52,8.6,3.1,1.6,-2.4,19,33,21.2,3.1,7.6,1.3,3.6,1.3,1.6,1.1,1.9,1,0.8,0.2,1.8,1,0,-1.6,0.93,0.86,4.98,4.38,1.8,0.5,0.08,1,1.6,4,0,1,0,0,1,0,0,3,0,1,2,blessure bas,jeune joueur,moyen,léger
Jabari Smith Jr.,HOU,Auburn,USA,2022,1,3,57,12.2,7,1.1,7.3,40,17,30.1,4.4,9.9,1.7,4.9,1.8,2.2,1.8,5.2,1.1,0.4,0.7,2.2,8,0,4.4,1.19,1.06,4.35,4,1.2,0.5,0,3.5,1.9,0,0,0,1,0,0,0,0,8,0,3,0,Non blessé,jeune joueur,grand,moyen
Jabari Walker,POR,Colorado,USA,2022,2,57,60,5.2,3.5,0.6,0.5,23,37,12.5,2,3.8,0.5,1.2,0.8,1.2,1,2.5,0.6,0.6,0.1,1.5,1,0,0.3,0.49,0.45,4.42,3.89,1,0.4,0.02,0.9,1.1,2,0,0,0,0,0,0,0,6,0,0,1,Non blessé,jeune joueur,moyen,lourd
Jack McVeigh,HOU,Nebraska-Lincoln,Australia,Undrafted,Undrafted,Undrafted,9,1.6,0.6,0.1,-9.2,5,4,4.8,0.6,1.9,0.4,1.4,0,0,0.2,0.3,0.2,0,0.2,0.3,0,0,-1.1,0.19,0.19,4.72,4.03,0,0.2,0,1.6,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur expérimenté,grand,moyen
Jackson Rowe,GSW,California State-Fullerton,Canada,Undrafted,Undrafted,Undrafted,6,3.7,1.8,0.7,12.9,4,2,8.6,1.3,2.8,0.5,1.7,0.5,1,0.5,1.3,0.2,0.7,0,0.7,0,0,3.8,0.4,0.34,4.93,4.36,1.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur expérimenté,moyen,moyen
Jacob Toppin,ATL,Kentucky,USA,Undrafted,Undrafted,Undrafted,17,1.4,0.9,0.4,-14.5,13,4,4.4,0.5,1.3,0.3,0.6,0,0,0.2,0.7,0.2,0.1,0,0.2,0,0,-1.5,0.19,0.16,4.75,4.13,0.6,0,0,0.8,0.7,0,0,0,0,0,0,0,0,1,0,1,0,Non blessé,joueur mature,grand,léger
Jaden Hardy,DAL,None,USA,2022,2,37,57,8.7,1.6,1.4,-3.2,30,27,15.9,3.2,7.3,1.3,3.5,1.1,1.5,0.2,1.4,1.4,0.5,0.1,1.6,0,0,-1.1,0.66,0.57,4.63,3.99,1,0.5,0.04,0.8,0.7,4,0,1,0,0,0,0,0,8,0,3,0,Non blessé,jeune joueur,petit,léger
Jaden Ivey,DET,Purdue,USA,2022,1,5,30,17.6,4.1,4,-4.1,14,16,29.9,6.3,13.8,2.1,5.1,2.8,3.9,1.3,2.8,3,0.9,0.4,2.2,0,0,-2.1,1.26,1.08,4.74,3.99,1.6,0.9,0,1.8,1.5,5,1,0,0,0,0,0,0,9,0,3,2,blessure bas,joueur mature,moyen,léger
Jaden McDaniels,MIN,Washington,USA,2020,1,28,82,12.2,5.7,2,4,49,33,31.9,4.9,10.2,1.2,3.7,1.3,1.6,1.6,4.2,1.2,1.3,0.9,2.7,10,0,2.1,1.28,1.2,4.47,4.25,2.7,0.7,0.01,3.5,2.4,9,0,1,0,0,0,1,0,8,2,3,23,Non blessé,joueur mature,grand,léger
Jaden Springer,UTA,Tennessee,USA,2021,1,28,43,2.5,1.3,0.8,-3.3,22,21,8.5,0.8,2.1,0.3,1.1,0.6,0.9,0.4,1,0.4,0.6,0.1,1,0,0,-0.7,0.32,0.31,4.07,4.1,1.6,0.3,0,0.4,0.5,0,0,0,0,0,0,0,0,2,0,1,0,Non blessé,jeune joueur,moyen,léger
Jae Crowder,SAC,Marquette,USA,2012,2,34,9,2.6,2.2,0.7,-7.4,3,6,11.4,0.8,2.4,0.4,1.7,0.6,0.7,0.7,1.6,0.4,0.3,0,1.1,0,0,-2,0.45,0.37,4.47,3.6,0.7,0.3,0,0.3,1.4,0,0,0,0,0,0,0,0,0,0,0,1,Non blessé,joueur vétéran,moyen,lourd
Jae'Sean Tate,HOU,Ohio State,USA,Undrafted,Undrafted,Undrafted,52,3.6,2.3,0.9,6.3,38,14,11.3,1.3,2.8,0.3,0.9,0.6,0.9,1,1.3,0.4,0.5,0.1,1.6,0,0,1,0.47,0.41,4.53,4.03,1.3,0.3,0.17,0.9,1.2,1,0,0,1,0,0,0,0,6,0,3,0,blessure bas,joueur expérimenté,moyen,moyen
Jahlil Okafor,IND,Duke,USA,2015,1,3,1,0,1,1,62.5,0,1,3.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0.13,0.15,3.7,5.53,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur expérimenté,grand,lourd
Jahmir Young,CHI,Maryland,USA,Undrafted,Undrafted,Undrafted,6,1.8,0.5,1,-13.5,4,2,4.9,0.7,0.8,0.2,0.3,0.3,0.3,0.2,0.3,0.2,0,0,0.3,0,0,-1.2,0.21,0.17,4.99,3.61,0.3,0,0,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur mature,petit,léger
Jaime Jaquez Jr.,MIA,UCLA,USA,2023,1,18,66,8.6,4.4,2.5,-6,32,34,20.7,3.2,7,0.6,1.8,1.6,2.2,1.3,3.1,1.5,0.9,0.2,1.2,3,1,-2.3,0.93,0.78,5.01,4.2,1.7,0.6,0,1.8,1.4,7,0,0,2,0,2,0,0,6,0,5,2,Non blessé,joueur mature,moyen,moyen
Jake LaRavia,SAC,Wake Forest,USA,2022,1,19,66,6.9,3.9,2.4,3.8,40,26,20.4,2.4,5.1,0.9,2.2,1.2,1.7,1.4,2.6,1.3,0.9,0.3,2,2,0,1.9,0.91,0.83,4.96,4.46,2.2,0.7,0,1.4,1.6,5,1,0,0,1,0,0,0,9,0,4,2,blessure haut,joueur mature,moyen,lourd
Jakob Poeltl,TOR,Utah,Austria,2016,1,9,57,14.5,9.6,2.8,-0.7,21,36,29.6,6.4,10.2,0,0.1,1.7,2.5,3.3,6.3,1.9,1.2,1.2,3.1,23,0,-0.6,1.19,1.12,4.66,4.1,2.7,0.6,0.02,6.5,2.4,5,0,0,2,0,2,0,0,20,2,1,6,blessure haut,joueur expérimenté,grand,lourd
Jalen Bridges,PHX,Baylor,USA,Undrafted,Undrafted,Undrafted,8,1.1,0.5,0,9.7,1,7,3.8,0.3,0.9,0.3,0.9,0.4,0.5,0,0.5,0.5,0,0,0,0,0,0.9,0.16,0.16,4.62,4.11,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur mature,grand,moyen
Jalen Brunson,NYK,Villanova,USA,2018,2,33,65,26,2.9,7.3,2.6,40,25,35.4,9,18.5,2.3,6.1,5.7,6.9,0.4,2.5,2.5,0.9,0.1,2.1,14,0,2.2,1.52,1.12,4.65,3.76,1.4,0.7,0.31,1.2,2.1,2,0,0,0,0,0,0,0,6,0,2,1,Non blessé,joueur expérimenté,petit,léger
Jalen Duren,DET,Memphis,USA,2022,1,13,78,11.8,10.3,2.7,1.5,43,35,26.1,4.8,7,0,0,2.1,3.1,3.6,6.8,1.7,0.7,1.1,3.2,41,0,0.5,1.01,0.96,4.42,4.07,1.4,0.4,0,5.8,2.2,1,1,1,1,0,0,0,0,30,7,4,3,Non blessé,jeune joueur,grand,lourd
Jalen Green,HOU,None,USA,2021,1,2,82,21,4.6,3.4,2.8,52,30,32.9,7.4,17.5,2.9,8.1,3.3,4.1,0.5,4,2.5,0.9,0.3,1.5,4,0,2,1.39,1.12,4.65,3.88,1.2,0.4,0.01,2.6,1.6,7,1,0,0,0,1,0,0,9,0,4,2,Non blessé,joueur mature,moyen,léger
Jalen Hood-Schifino,PHI,Indiana,USA,2023,1,17,15,7.1,1.8,2.5,-16.4,3,12,21,2.5,6.5,0.9,3.1,1.2,1.4,0.2,1.6,1.2,0.3,0.5,1.7,0,0,-6.4,0.91,0.69,4.65,3.81,1.1,0.3,0,1.1,0.9,1,0,0,0,0,0,0,0,1,1,0,0,Non blessé,jeune joueur,moyen,moyen
Jalen Johnson,ATL,Duke,USA,2021,1,20,36,18.9,10,5,1.6,18,18,35.7,7.5,15.1,1.2,3.9,2.6,3.5,1.7,8.3,2.9,1.6,1,1.9,20,1,1.5,1.48,1.31,4.83,3.97,2.7,0.6,0,3.2,2.3,14,0,0,0,0,0,0,0,11,1,4,6,blessure haut,joueur mature,grand,moyen
Jalen McDaniels,WAS,San Diego State,USA,2019,2,52,4,0,0,0.3,3.5,2,2,1.8,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,-0.3,0.06,0.07,4.52,4.12,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur expérimenté,grand,léger
Jalen Pickett,DEN,Penn State,USA,2023,2,32,49,4.1,1.4,2.2,2.9,31,18,13.6,1.6,3.7,0.8,2.1,0.1,0.2,0.3,1.1,0.5,0.4,0.1,0.8,1,1,1.1,0.57,0.47,4.66,3.84,0.9,0.3,0,0.7,1.6,1,0,0,0,0,0,0,0,4,0,0,2,Non blessé,joueur mature,petit,léger
Jalen Smith,CHI,Maryland,USA,2020,1,10,64,8.2,5.6,1,-1.2,28,36,15,3,6.4,1.1,3.5,1.1,1.4,1.4,4.2,0.6,0.3,0.7,1.5,4,0,-0.6,0.62,0.56,4.88,3.94,0.4,0.3,0.05,3,1,2,0,0,0,0,1,0,1,12,0,2,0,Non blessé,joueur mature,grand,moyen
Jalen Suggs,ORL,Gonzaga,USA,2021,1,5,35,16.2,4,3.7,1,20,15,28.6,5.6,13.7,2.2,6.9,2.8,3.1,0.7,3.4,2.9,1.5,0.9,2.8,0,0,0.1,1.12,0.97,4.29,3.83,3,0.8,0.17,2,1.3,4,0,0,0,0,0,0,1,8,0,1,1,blessure bas,joueur mature,moyen,léger
Jalen Williams,OKC,Santa Clara,USA,2022,1,12,69,21.6,5.3,5.1,10.2,55,14,32.4,8.2,16.9,1.8,4.9,3.4,4.3,0.9,4.5,2.2,1.6,0.7,2.3,3,0,6.6,1.39,1.15,4.97,3.86,3.5,0.9,0.06,2.7,1.5,7,0,0,0,0,0,0,0,9,0,3,2,Non blessé,joueur mature,moyen,moyen
Jalen Wilson,BKN,Kansas,USA,2023,2,51,79,9.5,3.4,1.8,-6.7,25,54,25.7,3.1,7.8,1.5,4.6,1.7,2.1,0.9,2.5,1,0.5,0.1,2.1,0,0,-3.3,1.1,0.93,4.61,4.2,0.8,0.5,0,1.6,1.4,4,1,0,1,0,0,0,0,11,1,6,3,Non blessé,joueur mature,moyen,moyen
Jamal Cain,NOP,Oakland,USA,Undrafted,Undrafted,Undrafted,37,5.3,2.3,0.6,-12.9,6,31,13.6,1.8,4.3,0.7,2.2,0.9,1.4,0.7,1.6,0.6,0.6,0.2,1.2,0,0,-3.6,0.55,0.53,4.56,4.36,1.4,0.3,0,1.3,1,0,1,0,0,0,0,0,0,2,0,1,1,Non blessé,joueur expérimenté,moyen,léger
Jamal Murray,DEN,Kentucky,Canada,2016,1,7,67,21.4,3.9,6,6.5,41,26,36.1,7.9,16.7,2.3,5.9,3.3,3.7,0.7,3.2,2.1,1.4,0.5,1.9,5,0,4.9,1.42,1.2,4.52,3.77,2.4,0.7,0.01,3.2,2.5,4,0,0,0,1,0,0,0,5,0,2,4,Non blessé,joueur expérimenté,moyen,moyen
Jamal Shead,TOR,Houston,USA,2024,2,45,75,7.1,1.5,4.2,-7.8,28,47,19.6,2.7,6.7,1,3,0.7,0.9,0.4,1.1,1.6,0.8,0.1,2.1,1,0,-3.1,0.8,0.71,4.64,3.97,1.7,0.4,0.11,0.7,1,7,0,0,0,0,2,0,0,6,0,1,0,Non blessé,jeune joueur,petit,léger
Jamaree Bouyea,MIL,San Francisco,USA,Undrafted,Undrafted,Undrafted,5,3.4,1,2,0.6,4,1,12.3,1.2,2.4,0.2,1,0.8,1.2,0.2,0.8,1.6,0.8,0.4,0.4,0,0,0.4,0.49,0.43,4.3,4.05,2,0.5,0,1.3,1.3,1,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur mature,petit,léger
James Harden,LAC,Arizona State,USA,2009,1,3,79,22.8,5.8,8.7,6.2,50,29,35.3,6.7,16.4,3,8.5,6.4,7.3,0.7,5.1,4.3,1.5,0.7,2.1,38,3,4.4,1.21,1.01,3.75,3.27,2.6,0.7,0.03,1.2,1.8,3,0,0,0,1,3,0,1,31,1,5,2,Non blessé,joueur vétéran,moyen,moyen
James Johnson,IND,Wake Forest,USA,2009,1,16,12,0.7,0.5,0.3,-13.1,5,7,3.1,0.3,0.9,0,0.3,0,0.1,0,0.5,0.3,0,0.2,0.4,0,0,-0.8,0.11,0.1,4.26,3.47,0,0,0,0.6,0.6,0,0,0,0,0,1,0,0,0,0,0,0,Non blessé,joueur vétéran,moyen,lourd
James Wiseman,IND,Memphis,USA,2020,1,2,1,6,1,0,-23.5,1,0,4.6,2,4,0,1,2,2,0,1,0,0,0,0,0,0,-4,0.18,0.21,6.58,3.96,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur mature,grand,lourd
Jamison Battle,TOR,Ohio State,USA,Undrafted,Undrafted,Undrafted,59,7.1,2.7,0.9,-8.4,21,38,17.7,2.5,5.9,1.8,4.4,0.3,0.3,0.6,2.1,0.5,0.3,0.2,1.6,0,0,-3.1,0.73,0.68,4.71,4.27,0.6,0.3,0.02,1.5,1.2,1,0,0,0,0,0,0,0,1,0,0,0,Non blessé,joueur mature,moyen,moyen
Jarace Walker,IND,Houston,USA,2023,1,8,75,6.1,3.1,1.5,-5,45,30,15.8,2.3,4.8,1,2.5,0.6,0.9,0.3,2.7,1,0.7,0.3,1.5,0,0,-1.9,0.64,0.57,4.48,4.04,1.6,0.2,0,1.2,1,3,0,0,0,0,0,0,0,6,0,5,0,Non blessé,jeune joueur,moyen,lourd
